시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
2023,한화,131,595,514,153,31,85,101,74,118,2,0.332,0.298,0.388,0.541,0.929,0.408,6.63,91,30,1,5,4,3,3,13,1,12.4,19.8,0.63,0.243,16.58,109.28,7.81,111.02,2.78,-0.39,40.95
2022,한화,115,490,434,122,6,55,59,48,95,6,0.344,0.281,0.355,0.382,0.737,0.337,2,91,24,1,1,4,4,4,13,2,9.8,19.4,0.5,0.101,72.33,60.04,4.9,62.15,3.46,0.29,5.03
2021,한화,107,458,380,103,18,56,84,73,107,5,0.328,0.271,0.386,0.466,0.852,0.38,3.56,66,18,1,9,1,4,4,15,2,15.9,23.4,0.68,0.195,21.11,69.49,6.3,73.8,2.37,0.02,17.48
2020,한화,106,387,346,76,12,46,43,33,116,0,0.292,0.22,0.298,0.387,0.685,0.305,0.11,44,18,2,1,6,1,2,8,1,8.5,30,0.28,0.167,28.83,39.73,3.82,37.62,3.25,-0.09,-13.18
2019,한화,91,192,177,33,1,19,13,11,72,2,0.305,0.186,0.241,0.26,0.501,0.233,-1.29,23,8,1,0,2,1,2,3,2,5.7,37.5,0.15,0.074,177,11.04,1.97,6.26,4.87,-0.54,-16.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,
